n,core,state,class,tier,role,element,latches,full_codes,reading
219,E4rm8,flee,survive,push,rifleman,moving,heal-flee,630,"Rifleman retreating, in a squad push as the moving element [heal-flee latched]."
220,E4rm9,flee,survive,push,rifleman,moving,flee+heal-flee,630,"Rifleman retreating, in a squad push as the moving element [flee+heal-flee latched]."
221,E4rmG,flee,survive,push,rifleman,moving,sight-grace,630,"Rifleman retreating, in a squad push as the moving element [sight-grace latched]."
222,E4rmH,flee,survive,push,rifleman,moving,flee+sight-grace,630,"Rifleman retreating, in a squad push as the moving element [flee+sight-grace latched]."
223,E4rmO,flee,survive,push,rifleman,moving,heal-flee+sight-grace,630,"Rifleman retreating, in a squad push as the moving element [heal-flee+sight-grace latched]."
224,E4rmP,flee,survive,push,rifleman,moving,flee+heal-flee+sight-grace,630,"Rifleman retreating, in a squad push as the moving element [flee+heal-flee+sight-grace latched]."
225,E4mb0,flee,survive,push,medic,base-of-fire,,2100,"Medic retreating, in a squad push as the base-of-fire element."
226,E4mb1,flee,survive,push,medic,base-of-fire,flee,2100,"Medic retreating, in a squad push as the base-of-fire element [flee latched]."
227,E4mb8,flee,survive,push,medic,base-of-fire,heal-flee,2100,"Medic retreating, in a squad push as the base-of-fire element [heal-flee latched]."
228,E4mb9,flee,survive,push,medic,base-of-fire,flee+heal-flee,2100,"Medic retreating, in a squad push as the base-of-fire element [flee+heal-flee latched]."
229,E4mbG,flee,survive,push,medic,base-of-fire,sight-grace,2100,"Medic retreating, in a squad push as the base-of-fire element [sight-grace latched]."
230,E4mbH,flee,survive,push,medic,base-of-fire,flee+sight-grace,2100,"Medic retreating, in a squad push as the base-of-fire element [flee+sight-grace latched]."
231,E4mbO,flee,survive,push,medic,base-of-fire,heal-flee+sight-grace,2100,"Medic retreating, in a squad push as the base-of-fire element [heal-flee+sight-grace latched]."
232,E4mbP,flee,survive,push,medic,base-of-fire,flee+heal-flee+sight-grace,2100,"Medic retreating, in a squad push as the base-of-fire element [flee+heal-flee+sight-grace latched]."
233,E4mm0,flee,survive,push,medic,moving,,2100,"Medic retreating, in a squad push as the moving element."
234,E4mm1,flee,survive,push,medic,moving,flee,2100,"Medic retreating, in a squad push as the moving element [flee latched]."
235,E4mm8,flee,survive,push,medic,moving,heal-flee,2100,"Medic retreating, in a squad push as the moving element [heal-flee latched]."
236,E4mm9,flee,survive,push,medic,moving,flee+heal-flee,2100,"Medic retreating, in a squad push as the moving element [flee+heal-flee latched]."
237,E4mmG,flee,survive,push,medic,moving,sight-grace,2100,"Medic retreating, in a squad push as the moving element [sight-grace latched]."
238,E4mmH,flee,survive,push,medic,moving,flee+sight-grace,2100,"Medic retreating, in a squad push as the moving element [flee+sight-grace latched]."
239,E4mmO,flee,survive,push,medic,moving,heal-flee+sight-grace,2100,"Medic retreating, in a squad push as the moving element [heal-flee+sight-grace latched]."
240,E4mmP,flee,survive,push,medic,moving,flee+heal-flee+sight-grace,2100,"Medic retreating, in a squad push as the moving element [flee+heal-flee+sight-grace latched]."
241,H0r-0,heal,survive,calm,rifleman,none,,105,Rifleman holding still to heal.
242,H0r-8,heal,survive,calm,rifleman,none,heal-flee,105,Rifleman holding still to heal [heal-flee latched].
243,H0r-G,heal,survive,calm,rifleman,none,sight-grace,105,Rifleman holding still to heal [sight-grace latched].
244,H0r-O,heal,survive,calm,rifleman,none,heal-flee+sight-grace,105,Rifleman holding still to heal [heal-flee+sight-grace latched].
245,H0m-0,heal,survive,calm,medic,none,,350,Medic holding still to heal.
246,H0m-8,heal,survive,calm,medic,none,heal-flee,350,Medic holding still to heal [heal-flee latched].
247,H0m-G,heal,survive,calm,medic,none,sight-grace,350,Medic holding still to heal [sight-grace latched].
248,H0m-O,heal,survive,calm,medic,none,heal-flee+sight-grace,350,Medic holding still to heal [heal-flee+sight-grace latched].
249,H1r-0,heal,survive,near-miss,rifleman,none,,105,"Rifleman holding still to heal, after a round whistled past."
250,H1r-8,heal,survive,near-miss,rifleman,none,heal-flee,105,"Rifleman holding still to heal, after a round whistled past [heal-flee latched]."
251,H1r-G,heal,survive,near-miss,rifleman,none,sight-grace,105,"Rifleman holding still to heal, after a round whistled past [sight-grace latched]."
252,H1r-O,heal,survive,near-miss,rifleman,none,heal-flee+sight-grace,105,"Rifleman holding still to heal, after a round whistled past [heal-flee+sight-grace latched]."
253,H1m-0,heal,survive,near-miss,medic,none,,350,"Medic holding still to heal, after a round whistled past."
254,H1m-8,heal,survive,near-miss,medic,none,heal-flee,350,"Medic holding still to heal, after a round whistled past [heal-flee latched]."
255,H1m-G,heal,survive,near-miss,medic,none,sight-grace,350,"Medic holding still to heal, after a round whistled past [sight-grace latched]."
256,H1m-O,heal,survive,near-miss,medic,none,heal-flee+sight-grace,350,"Medic holding still to heal, after a round whistled past [heal-flee+sight-grace latched]."
257,H2r-0,heal,survive,wary,rifleman,none,,210,"Rifleman holding still to heal, on a fresh wary call-out."
258,H2r-8,heal,survive,wary,rifleman,none,heal-flee,210,"Rifleman holding still to heal, on a fresh wary call-out [heal-flee latched]."
259,H2r-G,heal,survive,wary,rifleman,none,sight-grace,210,"Rifleman holding still to heal, on a fresh wary call-out [sight-grace latched]."
260,H2r-O,heal,survive,wary,rifleman,none,heal-flee+sight-grace,210,"Rifleman holding still to heal, on a fresh wary call-out [heal-flee+sight-grace latched]."
261,H2m-0,heal,survive,wary,medic,none,,700,"Medic holding still to heal, on a fresh wary call-out."
262,H2m-8,heal,survive,wary,medic,none,heal-flee,700,"Medic holding still to heal, on a fresh wary call-out [heal-flee latched]."
263,H2m-G,heal,survive,wary,medic,none,sight-grace,700,"Medic holding still to heal, on a fresh wary call-out [sight-grace latched]."
264,H2m-O,heal,survive,wary,medic,none,heal-flee+sight-grace,700,"Medic holding still to heal, on a fresh wary call-out [heal-flee+sight-grace latched]."
265,H3r-0,heal,survive,defensive,rifleman,none,,840,"Rifleman holding still to heal, under a defensive squad alert."
266,H3r-8,heal,survive,defensive,rifleman,none,heal-flee,840,"Rifleman holding still to heal, under a defensive squad alert [heal-flee latched]."
267,H3r-G,heal,survive,defensive,rifleman,none,sight-grace,840,"Rifleman holding still to heal, under a defensive squad alert [sight-grace latched]."
268,H3r-O,heal,survive,defensive,rifleman,none,heal-flee+sight-grace,840,"Rifleman holding still to heal, under a defensive squad alert [heal-flee+sight-grace latched]."
269,H3m-0,heal,survive,defensive,medic,none,,2800,"Medic holding still to heal, under a defensive squad alert."
270,H3m-8,heal,survive,defensive,medic,none,heal-flee,2800,"Medic holding still to heal, under a defensive squad alert [heal-flee latched]."
271,H3m-G,heal,survive,defensive,medic,none,sight-grace,2800,"Medic holding still to heal, under a defensive squad alert [sight-grace latched]."
272,H3m-O,heal,survive,defensive,medic,none,heal-flee+sight-grace,2800,"Medic holding still to heal, under a defensive squad alert [heal-flee+sight-grace latched]."
273,H4rb0,heal,survive,push,rifleman,base-of-fire,,630,"Rifleman holding still to heal, in a squad push as the base-of-fire element."
274,H4rb8,heal,survive,push,rifleman,base-of-fire,heal-flee,630,"Rifleman holding still to heal, in a squad push as the base-of-fire element [heal-flee latched]."
275,H4rbG,heal,survive,push,rifleman,base-of-fire,sight-grace,630,"Rifleman holding still to heal, in a squad push as the base-of-fire element [sight-grace latched]."
276,H4rbO,heal,survive,push,rifleman,base-of-fire,heal-flee+sight-grace,630,"Rifleman holding still to heal, in a squad push as the base-of-fire element [heal-flee+sight-grace latched]."
277,H4rm0,heal,survive,push,rifleman,moving,,630,"Rifleman holding still to heal, in a squad push as the moving element."
278,H4rm8,heal,survive,push,rifleman,moving,heal-flee,630,"Rifleman holding still to heal, in a squad push as the moving element [heal-flee latched]."
279,H4rmG,heal,survive,push,rifleman,moving,sight-grace,630,"Rifleman holding still to heal, in a squad push as the moving element [sight-grace latched]."
280,H4rmO,heal,survive,push,rifleman,moving,heal-flee+sight-grace,630,"Rifleman holding still to heal, in a squad push as the moving element [heal-flee+sight-grace latched]."
281,H4mb0,heal,survive,push,medic,base-of-fire,,2100,"Medic holding still to heal, in a squad push as the base-of-fire element."
282,H4mb8,heal,survive,push,medic,base-of-fire,heal-flee,2100,"Medic holding still to heal, in a squad push as the base-of-fire element [heal-flee latched]."
283,H4mbG,heal,survive,push,medic,base-of-fire,sight-grace,2100,"Medic holding still to heal, in a squad push as the base-of-fire element [sight-grace latched]."
284,H4mbO,heal,survive,push,medic,base-of-fire,heal-flee+sight-grace,2100,"Medic holding still to heal, in a squad push as the base-of-fire element [heal-flee+sight-grace latched]."
285,H4mm0,heal,survive,push,medic,moving,,2100,"Medic holding still to heal, in a squad push as the moving element."
286,H4mm8,heal,survive,push,medic,moving,heal-flee,2100,"Medic holding still to heal, in a squad push as the moving element [heal-flee latched]."
287,H4mmG,heal,survive,push,medic,moving,sight-grace,2100,"Medic holding still to heal, in a squad push as the moving element [sight-grace latched]."
288,H4mmO,heal,survive,push,medic,moving,heal-flee+sight-grace,2100,"Medic holding still to heal, in a squad push as the moving element [heal-flee+sight-grace latched]."
289,K0r-0,knife,engage,calm,rifleman,none,,30,Rifleman committed to a melee strike.
290,K0r-G,knife,engage,calm,rifleman,none,sight-grace,30,Rifleman committed to a melee strike [sight-grace latched].
291,K0m-0,knife,engage,calm,medic,none,,100,Medic committed to a melee strike.
292,K0m-G,knife,engage,calm,medic,none,sight-grace,100,Medic committed to a melee strike [sight-grace latched].
293,K1r-0,knife,engage,near-miss,rifleman,none,,30,"Rifleman committed to a melee strike, after a round whistled past."
294,K1r-G,knife,engage,near-miss,rifleman,none,sight-grace,30,"Rifleman committed to a melee strike, after a round whistled past [sight-grace latched]."
295,K1m-0,knife,engage,near-miss,medic,none,,100,"Medic committed to a melee strike, after a round whistled past."
296,K1m-G,knife,engage,near-miss,medic,none,sight-grace,100,"Medic committed to a melee strike, after a round whistled past [sight-grace latched]."
297,K2r-0,knife,engage,wary,rifleman,none,,60,"Rifleman committed to a melee strike, on a fresh wary call-out."
298,K2r-G,knife,engage,wary,rifleman,none,sight-grace,60,"Rifleman committed to a melee strike, on a fresh wary call-out [sight-grace latched]."
299,K2m-0,knife,engage,wary,medic,none,,200,"Medic committed to a melee strike, on a fresh wary call-out."
300,K2m-G,knife,engage,wary,medic,none,sight-grace,200,"Medic committed to a melee strike, on a fresh wary call-out [sight-grace latched]."
301,K3r-0,knife,engage,defensive,rifleman,none,,240,"Rifleman committed to a melee strike, under a defensive squad alert."
302,K3r-G,knife,engage,defensive,rifleman,none,sight-grace,240,"Rifleman committed to a melee strike, under a defensive squad alert [sight-grace latched]."
303,K3m-0,knife,engage,defensive,medic,none,,800,"Medic committed to a melee strike, under a defensive squad alert."
304,K3m-G,knife,engage,defensive,medic,none,sight-grace,800,"Medic committed to a melee strike, under a defensive squad alert [sight-grace latched]."
305,K4rb0,knife,engage,push,rifleman,base-of-fire,,180,"Rifleman committed to a melee strike, in a squad push as the base-of-fire element."
306,K4rbG,knife,engage,push,rifleman,base-of-fire,sight-grace,180,"Rifleman committed to a melee strike, in a squad push as the base-of-fire element [sight-grace latched]."
307,K4rm0,knife,engage,push,rifleman,moving,,180,"Rifleman committed to a melee strike, in a squad push as the moving element."
308,K4rmG,knife,engage,push,rifleman,moving,sight-grace,180,"Rifleman committed to a melee strike, in a squad push as the moving element [sight-grace latched]."
309,K4mb0,knife,engage,push,medic,base-of-fire,,600,"Medic committed to a melee strike, in a squad push as the base-of-fire element."
310,K4mbG,knife,engage,push,medic,base-of-fire,sight-grace,600,"Medic committed to a melee strike, in a squad push as the base-of-fire element [sight-grace latched]."
311,K4mm0,knife,engage,push,medic,moving,,600,"Medic committed to a melee strike, in a squad push as the moving element."
312,K4mmG,knife,engage,push,medic,moving,sight-grace,600,"Medic committed to a melee strike, in a squad push as the moving element [sight-grace latched]."
313,A0r-0,aim,engage,calm,rifleman,none,,90,Rifleman slewing onto the target.
314,A0r-G,aim,engage,calm,rifleman,none,sight-grace,90,Rifleman slewing onto the target [sight-grace latched].
315,A0m-0,aim,engage,calm,medic,none,,300,Medic slewing onto the target.
316,A0m-G,aim,engage,calm,medic,none,sight-grace,300,Medic slewing onto the target [sight-grace latched].
317,A1r-0,aim,engage,near-miss,rifleman,none,,90,"Rifleman slewing onto the target, after a round whistled past."
318,A1r-G,aim,engage,near-miss,rifleman,none,sight-grace,90,"Rifleman slewing onto the target, after a round whistled past [sight-grace latched]."
319,A1m-0,aim,engage,near-miss,medic,none,,300,"Medic slewing onto the target, after a round whistled past."
320,A1m-G,aim,engage,near-miss,medic,none,sight-grace,300,"Medic slewing onto the target, after a round whistled past [sight-grace latched]."
321,A2r-0,aim,engage,wary,rifleman,none,,180,"Rifleman slewing onto the target, on a fresh wary call-out."
322,A2r-G,aim,engage,wary,rifleman,none,sight-grace,180,"Rifleman slewing onto the target, on a fresh wary call-out [sight-grace latched]."
323,A2m-0,aim,engage,wary,medic,none,,600,"Medic slewing onto the target, on a fresh wary call-out."
324,A2m-G,aim,engage,wary,medic,none,sight-grace,600,"Medic slewing onto the target, on a fresh wary call-out [sight-grace latched]."
325,A3r-0,aim,engage,defensive,rifleman,none,,720,"Rifleman slewing onto the target, under a defensive squad alert."
326,A3r-G,aim,engage,defensive,rifleman,none,sight-grace,720,"Rifleman slewing onto the target, under a defensive squad alert [sight-grace latched]."
327,A3m-0,aim,engage,defensive,medic,none,,2400,"Medic slewing onto the target, under a defensive squad alert."
328,A3m-G,aim,engage,defensive,medic,none,sight-grace,2400,"Medic slewing onto the target, under a defensive squad alert [sight-grace latched]."
329,A4rb0,aim,engage,push,rifleman,base-of-fire,,540,"Rifleman slewing onto the target, in a squad push as the base-of-fire element."
330,A4rbG,aim,engage,push,rifleman,base-of-fire,sight-grace,540,"Rifleman slewing onto the target, in a squad push as the base-of-fire element [sight-grace latched]."
331,A4rm0,aim,engage,push,rifleman,moving,,540,"Rifleman slewing onto the target, in a squad push as the moving element."
332,A4rmG,aim,engage,push,rifleman,moving,sight-grace,540,"Rifleman slewing onto the target, in a squad push as the moving element [sight-grace latched]."
333,A4mb0,aim,engage,push,medic,base-of-fire,,1800,"Medic slewing onto the target, in a squad push as the base-of-fire element."
334,A4mbG,aim,engage,push,medic,base-of-fire,sight-grace,1800,"Medic slewing onto the target, in a squad push as the base-of-fire element [sight-grace latched]."
335,A4mm0,aim,engage,push,medic,moving,,1800,"Medic slewing onto the target, in a squad push as the moving element."
336,A4mmG,aim,engage,push,medic,moving,sight-grace,1800,"Medic slewing onto the target, in a squad push as the moving element [sight-grace latched]."
337,F0r-0,fire,engage,calm,rifleman,none,,90,Rifleman shooting.
338,F0r-G,fire,engage,calm,rifleman,none,sight-grace,90,Rifleman shooting [sight-grace latched].
339,F0m-0,fire,engage,calm,medic,none,,300,Medic shooting.
340,F0m-G,fire,engage,calm,medic,none,sight-grace,300,Medic shooting [sight-grace latched].
341,F1r-0,fire,engage,near-miss,rifleman,none,,90,"Rifleman shooting, after a round whistled past."
342,F1r-G,fire,engage,near-miss,rifleman,none,sight-grace,90,"Rifleman shooting, after a round whistled past [sight-grace latched]."
343,F1m-0,fire,engage,near-miss,medic,none,,300,"Medic shooting, after a round whistled past."
344,F1m-G,fire,engage,near-miss,medic,none,sight-grace,300,"Medic shooting, after a round whistled past [sight-grace latched]."
345,F2r-0,fire,engage,wary,rifleman,none,,180,"Rifleman shooting, on a fresh wary call-out."
346,F2r-G,fire,engage,wary,rifleman,none,sight-grace,180,"Rifleman shooting, on a fresh wary call-out [sight-grace latched]."
347,F2m-0,fire,engage,wary,medic,none,,600,"Medic shooting, on a fresh wary call-out."
348,F2m-G,fire,engage,wary,medic,none,sight-grace,600,"Medic shooting, on a fresh wary call-out [sight-grace latched]."
349,F3r-0,fire,engage,defensive,rifleman,none,,720,"Rifleman shooting, under a defensive squad alert."
350,F3r-G,fire,engage,defensive,rifleman,none,sight-grace,720,"Rifleman shooting, under a defensive squad alert [sight-grace latched]."
351,F3m-0,fire,engage,defensive,medic,none,,2400,"Medic shooting, under a defensive squad alert."
352,F3m-G,fire,engage,defensive,medic,none,sight-grace,2400,"Medic shooting, under a defensive squad alert [sight-grace latched]."
353,F4rb0,fire,engage,push,rifleman,base-of-fire,,540,"Rifleman shooting, in a squad push as the base-of-fire element."
354,F4rbG,fire,engage,push,rifleman,base-of-fire,sight-grace,540,"Rifleman shooting, in a squad push as the base-of-fire element [sight-grace latched]."
355,F4rm0,fire,engage,push,rifleman,moving,,540,"Rifleman shooting, in a squad push as the moving element."
356,F4rmG,fire,engage,push,rifleman,moving,sight-grace,540,"Rifleman shooting, in a squad push as the moving element [sight-grace latched]."
357,F4mb0,fire,engage,push,medic,base-of-fire,,1800,"Medic shooting, in a squad push as the base-of-fire element."
358,F4mbG,fire,engage,push,medic,base-of-fire,sight-grace,1800,"Medic shooting, in a squad push as the base-of-fire element [sight-grace latched]."
359,F4mm0,fire,engage,push,medic,moving,,1800,"Medic shooting, in a squad push as the moving element."
360,F4mmG,fire,engage,push,medic,moving,sight-grace,1800,"Medic shooting, in a squad push as the moving element [sight-grace latched]."
361,C0r-0,cover-move,defend,calm,rifleman,none,,90,Rifleman breaking for a cover corner.
362,C0r-2,cover-move,defend,calm,rifleman,none,cover,90,Rifleman breaking for a cover corner [cover latched].
363,C0r-G,cover-move,defend,calm,rifleman,none,sight-grace,90,Rifleman breaking for a cover corner [sight-grace latched].
364,C0r-I,cover-move,defend,calm,rifleman,none,cover+sight-grace,90,Rifleman breaking for a cover corner [cover+sight-grace latched].
365,C0m-0,cover-move,defend,calm,medic,none,,300,Medic breaking for a cover corner.
366,C0m-2,cover-move,defend,calm,medic,none,cover,300,Medic breaking for a cover corner [cover latched].
367,C0m-G,cover-move,defend,calm,medic,none,sight-grace,300,Medic breaking for a cover corner [sight-grace latched].
368,C0m-I,cover-move,defend,calm,medic,none,cover+sight-grace,300,Medic breaking for a cover corner [cover+sight-grace latched].
369,C1r-0,cover-move,defend,near-miss,rifleman,none,,90,"Rifleman breaking for a cover corner, after a round whistled past."
370,C1r-2,cover-move,defend,near-miss,rifleman,none,cover,90,"Rifleman breaking for a cover corner, after a round whistled past [cover latched]."
371,C1r-G,cover-move,defend,near-miss,rifleman,none,sight-grace,90,"Rifleman breaking for a cover corner, after a round whistled past [sight-grace latched]."
372,C1r-I,cover-move,defend,near-miss,rifleman,none,cover+sight-grace,90,"Rifleman breaking for a cover corner, after a round whistled past [cover+sight-grace latched]."
373,C1m-0,cover-move,defend,near-miss,medic,none,,300,"Medic breaking for a cover corner, after a round whistled past."
374,C1m-2,cover-move,defend,near-miss,medic,none,cover,300,"Medic breaking for a cover corner, after a round whistled past [cover latched]."
375,C1m-G,cover-move,defend,near-miss,medic,none,sight-grace,300,"Medic breaking for a cover corner, after a round whistled past [sight-grace latched]."
376,C1m-I,cover-move,defend,near-miss,medic,none,cover+sight-grace,300,"Medic breaking for a cover corner, after a round whistled past [cover+sight-grace latched]."
377,C2r-0,cover-move,defend,wary,rifleman,none,,180,"Rifleman breaking for a cover corner, on a fresh wary call-out."
378,C2r-2,cover-move,defend,wary,rifleman,none,cover,180,"Rifleman breaking for a cover corner, on a fresh wary call-out [cover latched]."
379,C2r-G,cover-move,defend,wary,rifleman,none,sight-grace,180,"Rifleman breaking for a cover corner, on a fresh wary call-out [sight-grace latched]."
380,C2r-I,cover-move,defend,wary,rifleman,none,cover+sight-grace,180,"Rifleman breaking for a cover corner, on a fresh wary call-out [cover+sight-grace latched]."
381,C2m-0,cover-move,defend,wary,medic,none,,600,"Medic breaking for a cover corner, on a fresh wary call-out."
382,C2m-2,cover-move,defend,wary,medic,none,cover,600,"Medic breaking for a cover corner, on a fresh wary call-out [cover latched]."
383,C2m-G,cover-move,defend,wary,medic,none,sight-grace,600,"Medic breaking for a cover corner, on a fresh wary call-out [sight-grace latched]."
384,C2m-I,cover-move,defend,wary,medic,none,cover+sight-grace,600,"Medic breaking for a cover corner, on a fresh wary call-out [cover+sight-grace latched]."
385,C3r-0,cover-move,defend,defensive,rifleman,none,,720,"Rifleman breaking for a cover corner, under a defensive squad alert."
386,C3r-2,cover-move,defend,defensive,rifleman,none,cover,720,"Rifleman breaking for a cover corner, under a defensive squad alert [cover latched]."
387,C3r-G,cover-move,defend,defensive,rifleman,none,sight-grace,720,"Rifleman breaking for a cover corner, under a defensive squad alert [sight-grace latched]."
388,C3r-I,cover-move,defend,defensive,rifleman,none,cover+sight-grace,720,"Rifleman breaking for a cover corner, under a defensive squad alert [cover+sight-grace latched]."
389,C3m-0,cover-move,defend,defensive,medic,none,,2400,"Medic breaking for a cover corner, under a defensive squad alert."
390,C3m-2,cover-move,defend,defensive,medic,none,cover,2400,"Medic breaking for a cover corner, under a defensive squad alert [cover latched]."
391,C3m-G,cover-move,defend,defensive,medic,none,sight-grace,2400,"Medic breaking for a cover corner, under a defensive squad alert [sight-grace latched]."
392,C3m-I,cover-move,defend,defensive,medic,none,cover+sight-grace,2400,"Medic breaking for a cover corner, under a defensive squad alert [cover+sight-grace latched]."
393,C4rb0,cover-move,defend,push,rifleman,base-of-fire,,540,"Rifleman breaking for a cover corner, in a squad push as the base-of-fire element."
394,C4rb2,cover-move,defend,push,rifleman,base-of-fire,cover,540,"Rifleman breaking for a cover corner, in a squad push as the base-of-fire element [cover latched]."
395,C4rbG,cover-move,defend,push,rifleman,base-of-fire,sight-grace,540,"Rifleman breaking for a cover corner, in a squad push as the base-of-fire element [sight-grace latched]."
396,C4rbI,cover-move,defend,push,rifleman,base-of-fire,cover+sight-grace,540,"Rifleman breaking for a cover corner, in a squad push as the base-of-fire element [cover+sight-grace latched]."
397,C4rm0,cover-move,defend,push,rifleman,moving,,540,"Rifleman breaking for a cover corner, in a squad push as the moving element."
398,C4rm2,cover-move,defend,push,rifleman,moving,cover,540,"Rifleman breaking for a cover corner, in a squad push as the moving element [cover latched]."
399,C4rmG,cover-move,defend,push,rifleman,moving,sight-grace,540,"Rifleman breaking for a cover corner, in a squad push as the moving element [sight-grace latched]."
400,C4rmI,cover-move,defend,push,rifleman,moving,cover+sight-grace,540,"Rifleman breaking for a cover corner, in a squad push as the moving element [cover+sight-grace latched]."
401,C4mb0,cover-move,defend,push,medic,base-of-fire,,1800,"Medic breaking for a cover corner, in a squad push as the base-of-fire element."
402,C4mb2,cover-move,defend,push,medic,base-of-fire,cover,1800,"Medic breaking for a cover corner, in a squad push as the base-of-fire element [cover latched]."
403,C4mbG,cover-move,defend,push,medic,base-of-fire,sight-grace,1800,"Medic breaking for a cover corner, in a squad push as the base-of-fire element [sight-grace latched]."
404,C4mbI,cover-move,defend,push,medic,base-of-fire,cover+sight-grace,1800,"Medic breaking for a cover corner, in a squad push as the base-of-fire element [cover+sight-grace latched]."
405,C4mm0,cover-move,defend,push,medic,moving,,1800,"Medic breaking for a cover corner, in a squad push as the moving element."
406,C4mm2,cover-move,defend,push,medic,moving,cover,1800,"Medic breaking for a cover corner, in a squad push as the moving element [cover latched]."
407,C4mmG,cover-move,defend,push,medic,moving,sight-grace,1800,"Medic breaking for a cover corner, in a squad push as the moving element [sight-grace latched]."
408,C4mmI,cover-move,defend,push,medic,moving,cover+sight-grace,1800,"Medic breaking for a cover corner, in a squad push as the moving element [cover+sight-grace latched]."
409,G0r-2,cover-hold,defend,calm,rifleman,none,cover,90,Rifleman holding a cover anchor [cover latched].
410,G0r-I,cover-hold,defend,calm,rifleman,none,cover+sight-grace,90,Rifleman holding a cover anchor [cover+sight-grace latched].
411,G0m-2,cover-hold,defend,calm,medic,none,cover,300,Medic holding a cover anchor [cover latched].
412,G0m-I,cover-hold,defend,calm,medic,none,cover+sight-grace,300,Medic holding a cover anchor [cover+sight-grace latched].
413,G1r-2,cover-hold,defend,near-miss,rifleman,none,cover,90,"Rifleman holding a cover anchor, after a round whistled past [cover latched]."
414,G1r-I,cover-hold,defend,near-miss,rifleman,none,cover+sight-grace,90,"Rifleman holding a cover anchor, after a round whistled past [cover+sight-grace latched]."
415,G1m-2,cover-hold,defend,near-miss,medic,none,cover,300,"Medic holding a cover anchor, after a round whistled past [cover latched]."
416,G1m-I,cover-hold,defend,near-miss,medic,none,cover+sight-grace,300,"Medic holding a cover anchor, after a round whistled past [cover+sight-grace latched]."
417,G2r-2,cover-hold,defend,wary,rifleman,none,cover,180,"Rifleman holding a cover anchor, on a fresh wary call-out [cover latched]."
418,G2r-I,cover-hold,defend,wary,rifleman,none,cover+sight-grace,180,"Rifleman holding a cover anchor, on a fresh wary call-out [cover+sight-grace latched]."
419,G2m-2,cover-hold,defend,wary,medic,none,cover,600,"Medic holding a cover anchor, on a fresh wary call-out [cover latched]."
420,G2m-I,cover-hold,defend,wary,medic,none,cover+sight-grace,600,"Medic holding a cover anchor, on a fresh wary call-out [cover+sight-grace latched]."
421,G3r-2,cover-hold,defend,defensive,rifleman,none,cover,720,"Rifleman holding a cover anchor, under a defensive squad alert [cover latched]."
422,G3r-I,cover-hold,defend,defensive,rifleman,none,cover+sight-grace,720,"Rifleman holding a cover anchor, under a defensive squad alert [cover+sight-grace latched]."
423,G3m-2,cover-hold,defend,defensive,medic,none,cover,2400,"Medic holding a cover anchor, under a defensive squad alert [cover latched]."
424,G3m-I,cover-hold,defend,defensive,medic,none,cover+sight-grace,2400,"Medic holding a cover anchor, under a defensive squad alert [cover+sight-grace latched]."
425,G4rb2,cover-hold,defend,push,rifleman,base-of-fire,cover,540,"Rifleman holding a cover anchor, in a squad push as the base-of-fire element [cover latched]."
426,G4rbI,cover-hold,defend,push,rifleman,base-of-fire,cover+sight-grace,540,"Rifleman holding a cover anchor, in a squad push as the base-of-fire element [cover+sight-grace latched]."
427,G4rm2,cover-hold,defend,push,rifleman,moving,cover,540,"Rifleman holding a cover anchor, in a squad push as the moving element [cover latched]."
428,G4rmI,cover-hold,defend,push,rifleman,moving,cover+sight-grace,540,"Rifleman holding a cover anchor, in a squad push as the moving element [cover+sight-grace latched]."
429,G4mb2,cover-hold,defend,push,medic,base-of-fire,cover,1800,"Medic holding a cover anchor, in a squad push as the base-of-fire element [cover latched]."
430,G4mbI,cover-hold,defend,push,medic,base-of-fire,cover+sight-grace,1800,"Medic holding a cover anchor, in a squad push as the base-of-fire element [cover+sight-grace latched]."
431,G4mm2,cover-hold,defend,push,medic,moving,cover,1800,"Medic holding a cover anchor, in a squad push as the moving element [cover latched]."
432,G4mmI,cover-hold,defend,push,medic,moving,cover+sight-grace,1800,"Medic holding a cover anchor, in a squad push as the moving element [cover+sight-grace latched]."
433,M0m-0,medic-move,support,calm,medic,none,,350,Medic moving to a wounded or fallen ally.
434,M0m-G,medic-move,support,calm,medic,none,sight-grace,350,Medic moving to a wounded or fallen ally [sight-grace latched].
435,M1m-0,medic-move,support,near-miss,medic,none,,350,"Medic moving to a wounded or fallen ally, after a round whistled past."
436,M1m-G,medic-move,support,near-miss,medic,none,sight-grace,350,"Medic moving to a wounded or fallen ally, after a round whistled past [sight-grace latched]."
437,M2m-0,medic-move,support,wary,medic,none,,700,"Medic moving to a wounded or fallen ally, on a fresh wary call-out."
438,M2m-G,medic-move,support,wary,medic,none,sight-grace,700,"Medic moving to a wounded or fallen ally, on a fresh wary call-out [sight-grace latched]."
439,M3m-0,medic-move,support,defensive,medic,none,,2800,"Medic moving to a wounded or fallen ally, under a defensive squad alert."
440,M3m-G,medic-move,support,defensive,medic,none,sight-grace,2800,"Medic moving to a wounded or fallen ally, under a defensive squad alert [sight-grace latched]."
441,M4mb0,medic-move,support,push,medic,base-of-fire,,2100,"Medic moving to a wounded or fallen ally, in a squad push as the base-of-fire element."
442,M4mbG,medic-move,support,push,medic,base-of-fire,sight-grace,2100,"Medic moving to a wounded or fallen ally, in a squad push as the base-of-fire element [sight-grace latched]."
